지점,지점명,일시,미세먼지
90,속초,2020-06-07 23:00,29
90,속초,2020-06-08 0:00,17
90,속초,2020-06-08 1:00,15
90,속초,2020-06-08 2:00,21
90,속초,2020-06-08 3:00,20
90,속초,2020-06-08 4:00,24
90,속초,2020-06-08 5:00,21
90,속초,2020-06-08 6:00,20
90,속초,2020-06-08 7:00,21
90,속초,2020-06-08 8:00,35
90,속초,2020-06-08 9:00,47
90,속초,2020-06-08 10:00,49
90,속초,2020-06-08 11:00,60
90,속초,2020-06-08 12:00,68
90,속초,2020-06-08 13:00,78
90,속초,2020-06-08 14:00,76
90,속초,2020-06-08 15:00,74
90,속초,2020-06-08 16:00,74
90,속초,2020-06-08 17:00,68
90,속초,2020-06-08 18:00,64
90,속초,2020-06-08 19:00,48
90,속초,2020-06-08 20:00,44
90,속초,2020-06-08 21:00,37
90,속초,2020-06-08 22:00,25
90,속초,2020-06-08 23:00,26
90,속초,2020-06-09 0:00,26
90,속초,2020-06-09 1:00,37
90,속초,2020-06-09 2:00,43
90,속초,2020-06-09 3:00,48
90,속초,2020-06-09 4:00,42
90,속초,2020-06-09 5:00,48
90,속초,2020-06-09 6:00,51
90,속초,2020-06-09 7:00,54
90,속초,2020-06-09 8:00,65
90,속초,2020-06-09 9:00,73
90,속초,2020-06-09 10:00,84
90,속초,2020-06-09 11:00,84
90,속초,2020-06-09 12:00,90
90,속초,2020-06-09 13:00,82
90,속초,2020-06-09 14:00,85
90,속초,2020-06-09 15:00,78
90,속초,2020-06-09 16:00,62
90,속초,2020-06-09 17:00,67
90,속초,2020-06-09 18:00,54
90,속초,2020-06-09 19:00,44
90,속초,2020-06-09 20:00,36
90,속초,2020-06-09 21:00,34
90,속초,2020-06-09 22:00,27
90,속초,2020-06-09 23:00,26
90,속초,2020-06-10 0:00,34
90,속초,2020-06-10 1:00,44
90,속초,2020-06-10 2:00,47
90,속초,2020-06-10 3:00,36
90,속초,2020-06-10 4:00,35
90,속초,2020-06-10 5:00,39
90,속초,2020-06-10 6:00,44
90,속초,2020-06-10 7:00,38
90,속초,2020-06-10 8:00,47
90,속초,2020-06-10 9:00,59
90,속초,2020-06-10 10:00,66
90,속초,2020-06-10 11:00,70
90,속초,2020-06-10 12:00,76
90,속초,2020-06-10 13:00,68
90,속초,2020-06-10 14:00,73
90,속초,2020-06-10 15:00,79
90,속초,2020-06-10 16:00,81
90,속초,2020-06-10 17:00,81
90,속초,2020-06-10 18:00,73
90,속초,2020-06-10 19:00,56
90,속초,2020-06-10 20:00,48
90,속초,2020-06-10 21:00,49
90,속초,2020-06-10 22:00,47
90,속초,2020-06-10 23:00,46
90,속초,2020-06-11 0:00,53
90,속초,2020-06-11 1:00,41
90,속초,2020-06-11 2:00,43
90,속초,2020-06-11 3:00,31
90,속초,2020-06-11 4:00,27
90,속초,2020-06-11 5:00,26
90,속초,2020-06-11 6:00,31
90,속초,2020-06-11 7:00,38
90,속초,2020-06-11 8:00,37
90,속초,2020-06-11 9:00,38
90,속초,2020-06-11 10:00,47
90,속초,2020-06-11 11:00,60
90,속초,2020-06-11 12:00,60
90,속초,2020-06-11 13:00,86
90,속초,2020-06-11 14:00,57
90,속초,2020-06-11 15:00,42
90,속초,2020-06-11 16:00,33
90,속초,2020-06-11 17:00,26
90,속초,2020-06-11 18:00,22
90,속초,2020-06-11 19:00,24
90,속초,2020-06-11 20:00,22
90,속초,2020-06-11 21:00,17
90,속초,2020-06-11 22:00,17
90,속초,2020-06-11 23:00,11
90,속초,2020-06-12 0:00,16
90,속초,2020-06-12 1:00,8
90,속초,2020-06-12 2:00,18
90,속초,2020-06-12 3:00,5
90,속초,2020-06-12 6:00,13
90,속초,2020-06-12 7:00,8
90,속초,2020-06-12 8:00,10
90,속초,2020-06-12 9:00,9
90,속초,2020-06-12 10:00,15
90,속초,2020-06-12 11:00,17
90,속초,2020-06-12 12:00,19
90,속초,2020-06-12 13:00,16
90,속초,2020-06-12 14:00,15
90,속초,2020-06-12 15:00,14
90,속초,2020-06-12 16:00,11
90,속초,2020-06-12 17:00,8
90,속초,2020-06-12 18:00,6
90,속초,2020-06-12 20:00,11
90,속초,2020-06-12 21:00,11
90,속초,2020-06-12 22:00,14
90,속초,2020-06-12 23:00,17
90,속초,2020-06-13 0:00,19
90,속초,2020-06-13 1:00,18
90,속초,2020-06-13 2:00,20
90,속초,2020-06-13 3:00,18
90,속초,2020-06-13 4:00,24
90,속초,2020-06-13 5:00,20
90,속초,2020-06-13 6:00,23
90,속초,2020-06-13 7:00,27
90,속초,2020-06-13 8:00,35
90,속초,2020-06-13 9:00,29
90,속초,2020-06-13 10:00,36
90,속초,2020-06-13 11:00,45
90,속초,2020-06-13 12:00,48
90,속초,2020-06-13 13:00,52
90,속초,2020-06-13 14:00,54
90,속초,2020-06-13 15:00,53
90,속초,2020-06-13 16:00,54
90,속초,2020-06-13 17:00,48
90,속초,2020-06-13 18:00,36
90,속초,2020-06-13 19:00,30
90,속초,2020-06-13 20:00,25
90,속초,2020-06-13 21:00,15
90,속초,2020-06-13 22:00,20
90,속초,2020-06-13 23:00,16
90,속초,2020-06-14 0:00,15
90,속초,2020-06-14 1:00,20
90,속초,2020-06-14 2:00,24
90,속초,2020-06-14 3:00,31
90,속초,2020-06-14 4:00,22
90,속초,2020-06-14 5:00,23
90,속초,2020-06-14 6:00,29
90,속초,2020-06-14 7:00,30
90,속초,2020-06-14 8:00,24
90,속초,2020-06-14 9:00,32
90,속초,2020-06-14 10:00,30
90,속초,2020-06-14 11:00,35
90,속초,2020-06-14 12:00,32
90,속초,2020-06-14 13:00,31
90,속초,2020-06-14 14:00,44
90,속초,2020-06-14 15:00,50
90,속초,2020-06-14 16:00,54
90,속초,2020-06-14 17:00,57
90,속초,2020-06-14 18:00,64
90,속초,2020-06-14 19:00,53
90,속초,2020-06-14 20:00,62
90,속초,2020-06-14 21:00,39
90,속초,2020-06-14 22:00,28
90,속초,2020-06-14 23:00,23
90,속초,2020-06-15 0:00,14
90,속초,2020-06-15 1:00,13
90,속초,2020-06-15 2:00,9
90,속초,2020-06-15 3:00,16
90,속초,2020-06-15 4:00,14
90,속초,2020-06-15 5:00,15
90,속초,2020-06-15 6:00,8
90,속초,2020-06-15 7:00,10
90,속초,2020-06-15 8:00,16
90,속초,2020-06-15 9:00,30
90,속초,2020-06-15 10:00,40
90,속초,2020-06-15 11:00,52
90,속초,2020-06-15 12:00,59
90,속초,2020-06-15 13:00,37
90,속초,2020-06-15 14:00,38
90,속초,2020-06-15 15:00,39
90,속초,2020-06-15 16:00,36
90,속초,2020-06-15 17:00,39
90,속초,2020-06-15 18:00,43
90,속초,2020-06-15 19:00,43
90,속초,2020-06-15 20:00,31
90,속초,2020-06-15 21:00,22
90,속초,2020-06-15 22:00,10
90,속초,2020-06-15 23:00,10
90,속초,2020-06-16 2:00,9
90,속초,2020-06-16 3:00,13
90,속초,2020-06-16 4:00,11
90,속초,2020-06-16 5:00,10
90,속초,2020-06-16 6:00,13
90,속초,2020-06-16 7:00,9
90,속초,2020-06-16 8:00,21
90,속초,2020-06-16 9:00,16
90,속초,2020-06-16 10:00,22
90,속초,2020-06-16 11:00,24
90,속초,2020-06-16 12:00,25
90,속초,2020-06-16 13:00,22
90,속초,2020-06-16 14:00,19
90,속초,2020-06-16 15:00,15
90,속초,2020-06-16 16:00,16
90,속초,2020-06-16 17:00,17
90,속초,2020-06-16 18:00,17
90,속초,2020-06-16 19:00,16
90,속초,2020-06-16 20:00,10
90,속초,2020-06-16 21:00,8
90,속초,2020-06-16 22:00,5
90,속초,2020-06-16 23:00,4
90,속초,2020-06-17 0:00,12
90,속초,2020-06-17 2:00,11
90,속초,2020-06-17 3:00,6
90,속초,2020-06-17 4:00,5
90,속초,2020-06-17 5:00,7
90,속초,2020-06-17 6:00,10
90,속초,2020-06-17 7:00,12
90,속초,2020-06-17 8:00,16
90,속초,2020-06-17 9:00,31
90,속초,2020-06-17 10:00,32
90,속초,2020-06-17 11:00,40
90,속초,2020-06-17 12:00,47
90,속초,2020-06-17 13:00,38
90,속초,2020-06-17 14:00,40
90,속초,2020-06-17 15:00,44
90,속초,2020-06-17 16:00,31
90,속초,2020-06-17 17:00,37
90,속초,2020-06-17 18:00,36
90,속초,2020-06-17 19:00,34
90,속초,2020-06-17 20:00,30
90,속초,2020-06-17 21:00,30
90,속초,2020-06-17 22:00,26
90,속초,2020-06-17 23:00,24
90,속초,2020-06-18 0:00,15
90,속초,2020-06-18 1:00,22
90,속초,2020-06-18 2:00,24
90,속초,2020-06-18 3:00,28
90,속초,2020-06-18 4:00,32
90,속초,2020-06-18 5:00,36
90,속초,2020-06-18 6:00,36
90,속초,2020-06-18 7:00,44
90,속초,2020-06-18 8:00,47
90,속초,2020-06-18 9:00,36
90,속초,2020-06-18 10:00,47
90,속초,2020-06-18 11:00,35
90,속초,2020-06-18 12:00,26
90,속초,2020-06-18 13:00,30
90,속초,2020-06-18 14:00,30
90,속초,2020-06-18 15:00,24
90,속초,2020-06-18 16:00,22
90,속초,2020-06-18 17:00,21
90,속초,2020-06-18 18:00,9
90,속초,2020-06-18 19:00,12
90,속초,2020-06-18 20:00,7
90,속초,2020-06-18 21:00,8
90,속초,2020-06-18 23:00,7
90,속초,2020-06-19 10:00,4
90,속초,2020-06-19 11:00,9
90,속초,2020-06-19 12:00,10
90,속초,2020-06-19 13:00,16
90,속초,2020-06-19 14:00,29
90,속초,2020-06-19 15:00,27
90,속초,2020-06-19 16:00,29
90,속초,2020-06-19 17:00,36
90,속초,2020-06-19 18:00,46
90,속초,2020-06-19 19:00,30
90,속초,2020-06-19 20:00,28
90,속초,2020-06-19 21:00,22
90,속초,2020-06-19 22:00,18
90,속초,2020-06-19 23:00,15
90,속초,2020-06-20 0:00,10
90,속초,2020-06-20 1:00,17
90,속초,2020-06-20 2:00,11
90,속초,2020-06-20 3:00,8
90,속초,2020-06-20 4:00,9
90,속초,2020-06-20 5:00,6
90,속초,2020-06-20 6:00,6
90,속초,2020-06-20 7:00,3
90,속초,2020-06-20 8:00,9
90,속초,2020-06-20 9:00,22
90,속초,2020-06-20 10:00,19
90,속초,2020-06-20 11:00,26
90,속초,2020-06-20 12:00,33
90,속초,2020-06-20 13:00,31
90,속초,2020-06-20 14:00,28
90,속초,2020-06-20 15:00,27
90,속초,2020-06-20 16:00,24
